manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᡦᠠᡵᠰᡠ,parsu,〔量〕漠，一 parsu （漠）为十 itele （模糊），十 parsu （漠）为一 sesiri （渺）。,6,460,460c
ᡦᠠᡵᡦᠠᠨᠠᠮᠪᡳ,parpanambi,〔不及〕（人矮而）发胖。,6,460,460c
ᡦᠣ ᡨᠣ ᡧᠠᠨ ᠠᠯᡳᠨ,po to San alin,〈地〉普陀山。,6,462,462a
ᡦᠣᠣ,poo,〔名〕炮。,6,462,462a
ᡦᠣᠣ ᠰᡳᠨᡩᠠᠮᠪᡳ,poo sindambi,放炮。,6,462,462b
ᡦᠣᠣ ᠰᡳᠨᡩᠠᡵᠠ ᠶᡝ ᠪᡠ ᡧᡝᠣ,poo sindara ye bu Seo,架炮夜不收，日夜施放大炮的兵。,6,462,462b
ᡦᠣᠣ ᡩᡳᠩ,poo ding,（人参的）炮丁。,6,462,462b
ᡦᠣᠣ ᡳ ᠨᡳᠶᠠᠯᠮᠠ,poo i niyalma,炮手。,6,462,462a
ᡦᠣᠣ ᡳ ᠴᠣᠣᡥᠠ,poo i cooha,炮兵。,6,462,462b
ᡦᠣᠣ ᡳ ᡠᠩᡤᠠᠯᠠ,poo i unggala,炮筒。,6,462,462a
ᡦᠣᠣ ᡳ ᡴᠠᡵᠠ,poo i kara,炮台。,6,462,462b
ᡦᠣᠣ ᡳ ᡴᡡᠸᠠᡵᠠᠨ,poo i k@waran,跑局。,6,462,462b
ᡦᠣᠩᠴᡠᠨ,pongcun,〔形〕短粗的。,6,462,462b
ᡦᠣᠩᡨᠣᠨᠣᠮᠪᡳ,pongtonombi,〔不及〕肥胖蠢笨，（矮胖子）一跩一跩。,6,462,462b
ᡦᠣᠯᠣᡵᡳ,polori,〔名〕大笸箩。,6,462,462c
ᡦᠣᠰ ᠰᡝᠮᡝ,pos seme,①突然说出口。②无阻力的穿透之声。,6,462,462b
ᡦᠣᠴᠣᠩ,pocong,〔象〕噗隆，咕咚，重物落水声。,6,462,462c
ᡦᠣᠴᠣᡴ,pocok,= pocong,6,462,462c
ᡦᠣᠵᠠᠨ,pojan,〔名〕爆仗，爆竹。,6,462,462c
ᡦᠣᠵᠠᠨ ᠣᡴᡨᠣ ᠪᡝ ᡩᡝᡳᠵᡳᠮᠪᡳ,pojan okto be deijimbi,烧炼丹药。,6,462,462c
ᡦᠣᡦᠣᡵᠨᠣᠮᠪᡳ,popornombi,〔不及〕①（穿得）鼓鼓囊囊。②(手)粗糙。,6,462,462b
ᡦᠣᡨᠣᡵ ᡦᠠᡨᠠᡵ,potor patar,扑棱扑棱，群鸟齐飞声。,6,462,462b
ᡦᠣᡴ,pok,〔象〕啪嗒，凡物撞击声，又飞箭碰击声。,6,462,462b
ᡦᠣᡴᠰᠣᡥᠣᠨ,poksohon,〔形〕（小孩长得）大而壮实。,6,462,462b
ᡦᠣᡴᠰᠣᡥᠣᡵᡳ,poksohori,= poksohon,6,462,462b
